date,hour,min,sec,am.pm,unit,Temperature
9/18/2014,4,51,0,PM,C,28
9/18/2014,8,51,0,PM,C,20.5
9/19/2014,12,51,0,AM,C,20
9/19/2014,4,51,0,AM,C,19
9/19/2014,8,51,0,AM,C,19
9/19/2014,12,51,0,PM,C,20.5
9/19/2014,4,51,0,PM,C,23
9/19/2014,8,51,0,PM,C,22.5
9/20/2014,12,51,0,AM,C,22
9/20/2014,4,51,0,AM,C,21.5
9/20/2014,8,51,0,AM,C,21.5
9/20/2014,12,51,0,PM,C,22
9/20/2014,4,51,0,PM,C,23
9/20/2014,8,51,0,PM,C,23
9/21/2014,12,51,0,AM,C,23
9/21/2014,4,51,0,AM,C,23
9/21/2014,8,51,0,AM,C,23
9/21/2014,12,51,0,PM,C,23
9/21/2014,4,51,0,PM,C,23
9/21/2014,8,51,0,PM,C,23
9/22/2014,12,51,0,AM,C,23
9/22/2014,4,51,0,AM,C,23
9/22/2014,8,51,0,AM,C,22.5
9/22/2014,12,51,0,PM,C,22
9/22/2014,4,51,0,PM,C,22.5
9/22/2014,8,51,0,PM,C,22
9/23/2014,12,51,0,AM,C,22
9/23/2014,4,51,0,AM,C,22
9/23/2014,8,51,0,AM,C,22
9/23/2014,12,51,0,PM,C,22
9/23/2014,4,51,0,PM,C,22.5
9/23/2014,8,51,0,PM,C,22.5
9/24/2014,12,51,0,AM,C,22.5
9/24/2014,4,51,0,AM,C,22.5
9/24/2014,8,51,0,AM,C,22.5
9/24/2014,12,51,0,PM,C,22.5
9/24/2014,4,51,0,PM,C,22.5
9/24/2014,8,51,0,PM,C,23
9/25/2014,12,51,0,AM,C,23
9/25/2014,4,51,0,AM,C,22.5
9/25/2014,8,51,0,AM,C,22.5
9/25/2014,12,51,0,PM,C,21.5
9/25/2014,4,51,0,PM,C,15.5
9/25/2014,8,51,0,PM,C,14.5
9/26/2014,12,51,0,AM,C,13.5
9/26/2014,4,51,0,AM,C,12.5
9/26/2014,8,51,0,AM,C,12.5
9/26/2014,12,51,0,PM,C,13.5
9/26/2014,4,51,0,PM,C,16
9/26/2014,8,51,0,PM,C,14.5
9/27/2014,12,51,0,AM,C,14
9/27/2014,4,51,0,AM,C,13
9/27/2014,8,51,0,AM,C,13
9/27/2014,12,51,0,PM,C,14
9/27/2014,4,51,0,PM,C,16.5
9/27/2014,8,51,0,PM,C,15.5
9/28/2014,12,51,0,AM,C,14.5
9/28/2014,4,51,0,AM,C,14
9/28/2014,8,51,0,AM,C,13.5
9/28/2014,12,51,0,PM,C,14.5
9/28/2014,4,51,0,PM,C,17
