#/////////////////////////////////////,,,,,,,,,,,
# -----START OF METADATA -----,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,
# TITLE: Amynthas spp. Sampling and Dissections 2015,,,,,,,,,,,
# DATE: 20170208,,,,,,,,,,,
# AUTHOR: Erin Keller,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,
# AUTHOR EMAIL: ekeller2@uvm.edu,,,,,,,,,,,
# AUTHOR ADDRESS: Marsh Life Science Bldg., Rm. 204, 109 Carrigan Dr., Burlington, VT 05405",,,,,,,,,,,
# AUTHOR WEBSITE: https://erinkeller.github.io/Bio381/,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,
# OWNERSHIP: Erin Keller,,,,,,,,,,,
# COLLABORATORS: Joseph J. Schall,,,,,,,,,,,
# FUNDING SOURCES: UVM Undergraduate Summer Research Grant,,,,,,,,,,,
# REPOSITORY: Monocystis-Project,,,,,,,,,,,
# CITATIONS: N/A,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,
# SAMPLING LOCATIONS: Centennial Woods (CW) - I-89, Burlington, VT 05401; UVM Horticultural Research Center (HF) - 65 Green Mountain Dr, South Burlington, VT 05403; Green Mountain Audubon Center (AU) - 255 Sherman Hollow Rd, Huntington, VT 05462",,,,,,,,,,,
# SAMPLING TIMES: Samples collected Spring-Fall 2015. Samples dissected Summer-Fall 2015,,,,,,,,,,,
# VARIABLE DESCRIPTION: Column 1 - Site where samples were collected (HF, AU, or CW)",,,,,,,,,,,
# VARIABLE DESCRIPTION: Sample identification number (1-140),,,,,,,,,,,
# VARIABLE DESCRIPTION: Host earthworm body length (mm),,,,,,,,,,,
# VARIABLE DESCRIPTION: Sampling date (yyyymmdd),,,,,,,,,,,
# VARIABLE DESCRIPTION: Date earthworm host was dissected (yyymmdd),,,,,,,,,,,
# VARIABLE DESCRIPTION: Life stage of host earthworm (juvenile [absence of clitellum], adult [presence of clitellum])",,,,,,,,,,,
# VARIABLE DESCRIPTION: State of seminal vesicle (0- absent, 1 -tiny, 2-small, 3-medium, 4-large)",,,,,,,,,,,
# MISSING DATA: State of Seminal Vesicle (NA indicates data was not recorded),,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,
# DATA TRACK CHANGES LOG (use this section to record any changes to the data set after it is created),,,,,,,,,,,
# DATE: 20170208             # CHANGES: Put data into this format describing metadata,,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,,
#DATE:              #CHANGES:,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,
# ----- END OF METADATA -----,,,,,,,,,,,
#/////////////////////////////////////,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
# ----- START OF DATA -----,,,,,,,,,,,
#,,,,,,,,,,,
Site,ID,Length,Date Sampled,Date Dissected,Life Stage of Host Earthworm,State of Seminal Vesicle,,,,,
CW,1,61,7.9.15,7.14.15,juvenile,0,,,,,
CW,2,62,7.9.15,7.14.15,juvenile,NA,,,,,
CW,3,90,7.9.15,7.14.15,juvenile,NA,,,,,
CW,4,71,7.9.15,7.14.15,juvenile,0,,,,,
CW,5,72,7.9.15,7.14.15,juvenile,NA,,,,,
CW,6,71,7.9.15,7.14.15,juvenile,0,,,,,
CW,7,60,7.9.15,7.14.15,juvenile,0,,,,,
CW,8,52,7.9.15,7.14.15,juvenile,1,,,,,
CW,9,55,7.9.15,7.14.15,juvenile,0,,,,,
CW,10,52,7.9.15,7.14.15,juvenile,0,,,,,
CW,11,54,7.9.15,7.14.15,juvenile,0,,,,,
CW,12,53,7.9.15,7.14.15,juvenile,0,,,,,
CW,13,47,7.9.15,7.14.15,juvenile,0,,,,,
CW,14,82,7.15.15,7.16.15,juvenile,2,,,,,
CW,15,65,7.15.15,7.16.15,juvenile,2,,,,,
CW,16,73,7.15.15,7.16.15,juvenile,2,,,,,
CW,17,68,7.15.15,7.16.15,juvenile,3,,,,,
CW,18,90,7.15.15,7.16.15,juvenile,4,,,,,
CW,19,68,7.15.15,7.16.15,juvenile,4,,,,,
CW,20,71,7.15.15,7.16.15,juvenile,4,,,,,
CW,21,68,7.15.15,7.16.15,juvenile,4,,,,,
CW,22,65,7.15.15,7.16.15,juvenile,4,,,,,
CW,23,77,7.15.15,7.16.15,juvenile,4,,,,,
CW,24,71,7.23.15,7.24.15,juvenile,4,,,,,
CW,25,92,7.23.15,7.24.15,juvenile,4,,,,,
CW,25,85,7.23.15,7.24.15,juvenile,4,,,,,
CW,27,82,7.23.15,7.24.15,juvenile,4,,,,,
CW,28,118,7.23.15,7.24.15,juvenile,4,,,,,
CW,29,71,7.23.15,7.24.15,juvenile,4,,,,,
CW,30,92,7.23.15,7.24.15,juvenile,4,,,,,
CW,31,93,7.23.15,7.24.15,juvenile,4,,,,,
CW,32,73,7.23.15,7.24.15,juvenile,4,,,,,
CW,33,99,7.23.15,7.24.15,juvenile,4,,,,,
CW,34,121,7.30.15,7.30.15,adult,4,,,,,
CW,35,135,7.30.15,7.30.15,adult,4,,,,,
CW,36,115,7.30.15,7.30.15,juvenile,4,,,,,
CW,37,94,7.30.15,8.1.15,juvenile,2,,,,,
CW,38,85,7.30.15,8.1.15,juvenile,4,,,,,
CW,39,88,7.30.15,8.1.15,juvenile,4,,,,,
CW,40,88,7.30.15,8.1.15,juvenile,4,,,,,
CW,41,102,7.30.15,8.1.15,juvenile,4,,,,,
CW,42,82,7.30.15,8.1.15,adult,4,,,,,
CW,43,78,7.30.15,8.1.15,adult,4,,,,,
CW,44,132,8.6.15,8.6.15,adult,3,,,,,
CW,45,130,8.6.15,8.6.15,adult,3,,,,,
CW,46,117,8.6.15,8.6.15,adult,4,,,,,
CW,47,128,8.6.15,8.6.15,adult,2,,,,,
CW,48,156,8.6.15,8.6.15,adult,2,,,,,
CW,49,135,8.6.15,8.6.15,adult,2,,,,,
CW,50,127,8.6.15,8.6.15,adult,4,,,,,
CW,51,131,8.6.15,8.6.15,adult,4,,,,,
CW,52,135,8.6.15,8.6.15,adult,3,,,,,
CW,53,140,8.6.15,8.6.15,adult,2,,,,,
CW,54,124,8.13.15,8.13.15,adult,4,,,,,
CW,55,129,8.13.15,8.13.15,adult,4,,,,,
CW,56,122,8.13.15,8.13.15,adult,4,,,,,
CW,57,130,8.13.15,8.13.15,adult,4,,,,,
CW,58,107,8.13.15,8.13.15,adult,4,,,,,
CW,59,119,8.13.15,8.13.15,adult,4,,,,,
CW,60,112,8.13.15,8.14.15,adult,4,,,,,
CW,61,123,8.13.15,8.14.15,adult,4,,,,,
CW,62,127,8.13.15,8.14.15,adult,4,,,,,
CW,63,107,8.13.15,8.14.15,adult,4,,,,,
CW,64,117,8.20.15,8.20.15,adult,3,,,,,
CW,65,107,8.20.15,8.20.15,adult,4,,,,,
CW,66,126,8.20.15,8.20.15,adult,4,,,,,
CW,67,116,8.20.15,8.20.15,adult,4,,,,,
CW,68,125,8.20.15,8.20.15,adult,3,,,,,
CW,69,106,8.20.15,8.20.15,adult,4,,,,,
CW,70,116,8.20.15,8.20.15,adult,3,,,,,
CW,71,120,8.20.15,8.20.15,adult,4,,,,,
CW,72,115,8.20.15,8.20.15,adult,3,,,,,
CW,73,114,8.20.15,8.20.15,adult,3,,,,,
CW,74,178,8.26.15,8.26.15,adult,4,,,,,
CW,75,112,8.26.15,8.26.15,adult,4,,,,,
CW,76,153,8.26.15,8.27.15,adult,4,,,,,
CW,77,155,8.26.15,8.27.15,adult,4,,,,,
CW,78,115,8.26.15,8.27.15,adult,4,,,,,
CW,79,138,8.26.15,8.27.15,adult,4,,,,,
CW,80,132,8.26.15,8.27.15,adult,4,,,,,
CW,81,142,8.26.15,8.27.15,adult,4,,,,,
CW,82,121,8.26.15,8.28.15,adult,4,,,,,
CW,83,132,8.26.15,8.28.15,adult,4,,,,,
CW,84,112,9.3.15,9.4.15,adult,4,,,,,
CW,85,105,9.3.15,9.4.15,adult,4,,,,,
CW,86,114,9.3.15,9.4.15,adult,4,,,,,
CW,87,113,9.3.15,9.4.15,adult,3,,,,,
CW,88,122,9.3.15,9.4.15,adult,4,,,,,
CW,89,105,9.3.15,9.4.15,adult,4,,,,,
CW,90,119,9.3.15,9.4.15,adult,4,,,,,
CW,91,122,9.3.15,9.4.15,adult,3,,,,,
CW,92,109,9.3.15,9.4.15,adult,2,,,,,
CW,93,106,9.3.15,9.4.15,adult,2,,,,,
CW,94,120,9.10.15,9.11.15,adult,4,,,,,
CW,95,118,9.10.15,9.11.15,adult,2,,,,,
CW,96,91,9.10.15,9.11.15,adult,2,,,,,
CW,97,112,9.10.15,9.11.15,adult,2,,,,,
CW,98,97,9.10.15,9.11.15,adult,3,,,,,
CW,99,115,9.10.15,9.11.15,adult,3,,,,,
CW,100,126,9.10.15,9.11.15,adult,2,,,,,
CW,101,100,9.10.15,9.11.15,adult,2,,,,,
CW,102,110,9.10.15,9.11.15,adult,3,,,,,
CW,103,88,9.10.15,9.11.15,adult,3,,,,,
CW,104,96,9.18.15,9.21.15,adult,3,,,,,
CW,105,108,9.18.15,9.21.15,adult,2,,,,,
CW,106,122,9.18.15,9.21.15,adult,2,,,,,
CW,107,60,9.18.15,9.21.15,adult,2,,,,,
CW,108,92,9.18.15,9.21.15,adult,2,,,,,
CW,109,100,9.18.15,9.21.15,adult,4,,,,,
CW,110,100,9.18.15,9.21.15,adult,4,,,,,
CW,111,105,9.18.15,9.21.15,adult,4,,,,,
CW,112,116,9.18.15,9.21.15,adult,2,,,,,
CW,113,116,9.18.15,9.21.15,adult,2,,,,,
CW,114,90,9.24.15,9.26.15,adult,4,,,,,
CW,115,98,9.24.15,9.26.15,adult,4,,,,,
CW,116,95,9.24.15,9.26.15,adult,4,,,,,
CW,117,97,9.24.15,9.26.15,adult,4,,,,,
CW,118,90,9.24.15,9.26.15,adult,4,,,,,
CW,119,102,9.24.15,9.26.15,adult,4,,,,,
CW,120,105,9.24.15,9.26.15,adult,4,,,,,
CW,121,118,9.24.15,9.26.15,adult,4,,,,,
CW,122,106,9.24.15,9.26.15,adult,2,,,,,
CW,123,98,9.24.15,9.26.15,adult,3,,,,,
CW,124,75,7.23.15,9.25.15,adult,3,,,,,
CW,125,76,7.23.15,9.25.15,adult,3,,,,,
CW,126,98,10.2.15,10.2.15,adult,3,,,,,
CW,127,86,10.2.15,10.2.15,adult,2,,,,,
CW,128,105,10.2.15,10.2.15,adult,3,,,,,
CW,129,80,10.2.15,10.2.15,adult,1,,,,,
CW,130,92,10.2.15,10.5.15,adult,2,,,,,
CW,131,96,10.2.15,10.5.15,adult,1,,,,,
CW,132,85,10.2.15,10.5.15,adult,1,,,,,
CW,133,88,10.2.15,10.5.15,adult,1,,,,,
CW,134,79,10.2.15,10.5.15,adult,1,,,,,
AU,1,97,7.15.15,7.16.15,juvenile,4,,,,,
AU,2,94,7.15.15,7.16.15,juvenile,4,,,,,
AU,3,86,7.15.15,7.16.15,juvenile,NA,,,,,
AU,4,76,7.15.15,7.16.15,juvenile,2,,,,,
AU,5,73,7.15.15,7.16.15,juvenile,0,,,,,
AU,6,72,7.15.15,7.16.15,juvenile,NA,,,,,
AU,7,69,7.15.15,7.16.15,juvenile,0,,,,,
AU,8,64,7.15.15,7.16.15,juvenile,0,,,,,
AU,9,65,7.15.15,7.16.15,juvenile,0,,,,,
AU,10,53,7.15.15,7.16.15,juvenile,0,,,,,
AU,11,63,7.15.15,7.16.15,juvenile,0,,,,,
