SITE,DATE,TOTAL
CW,16,0
CW,16,0
CW,16,0
CW,16,0
CW,16,0
CW,16,0
CW,16,0
CW,16,0
CW,16,0
CW,16,600
CW,17,108540
CW,17,600
CW,17,32428
CW,17,600
CW,17,6372
CW,17,17978
CW,17,600
CW,17,600
CW,17,600
CW,17,23205
CW,18,23040
CW,18,25190
CW,18,39690
CW,18,13395
CW,18,58060
CW,18,43976
CW,18,72540
CW,18,171720
CW,18,98305
CW,18,59712
CW,19,35232
CW,19,144018
CW,19,134757
CW,19,64657
CW,19,100000
CW,19,96610
CW,19,122472
CW,19,25920
CW,19,0
CW,19,3501
CW,20,164715
CW,20,16863
CW,20,174216
CW,20,141732
CW,20,97854
CW,20,20650
CW,20,78771
CW,20,14740
CW,20,122464
CW,20,87696
CW,21,49140
CW,21,52640
CW,21,55278
CW,21,44197
CW,21,4200
CW,21,18392
CW,21,115200
CW,21,36480
CW,21,14204
CW,21,600
CW,22,31598
CW,22,40590
CW,22,18900
CW,22,36701
CW,22,12495
CW,22,74820
CW,22,50268
CW,22,32300
CW,22,44785
CW,22,10878
CW,23,33674
CW,23,21230
CW,23,59367
CW,23,60840
CW,23,133980
CW,23,43036
CW,23,122672
CW,23,18424
CW,23,47840
CW,23,102240
CW,24,6600
CW,24,30250
CW,24,23525
CW,24,21527
CW,24,1463
CW,24,2926
CW,24,600
CW,24,39292
CW,24,30384
CW,24,37620
CW,25,106560
CW,25,105080
CW,25,59080
CW,25,70720
CW,25,55300
CW,25,700
CW,25,63360
CW,25,113880
CW,25,27437
CW,25,17160
CW,26,128180
CW,26,6460
CW,26,23800
CW,26,4800
CW,26,16940
CW,26,37120
CW,26,39400
CW,26,121
CW,26,22720
CW,27,10850
CW,27,2968
CW,27,31746
CW,27,16264
CW,27,28800
CW,27,10230
CW,27,7130
CW,27,8360
CW,27,37270
CW,27,29600
CW,28,7350
CW,28,55255
CW,28,67487
CW,28,600
CW,28,65670
CW,28,0
CW,28,2170
CW,28,600
CW,28,30960
CW,28,22048
CW,29,49032
CW,29,40480
CW,29,99000
CW,29,33110
CW,29,600
CW,29,5768
CW,29,3328
CW,29,6420
CW,29,17600
CW,29,0
CW,30,28776
CW,30,12870
CW,30,15008
CW,30,65879
CW,30,13300
CW,30,16350
CW,30,12980
CW,30,14256
CW,30,29606
CW,30,1221
CW,31,10633
CW,31,4840
CW,31,16985
CW,31,11154
CW,31,623
CW,31,2070
CW,31,645
CW,31,2460
CW,31,0
CW,31,550
CW,31,600
CW,31,600
CW,31,0
CW,32,0
CW,32,0
CW,32,600
CW,32,1235
CW,32,0
CW,32,0
CW,32,1105
CW,32,600
CW,32,600
CW,32,0
CW,32,0
CW,32,0
CW,32,0
CW,32,600
CW,32,600
CW,32,600
CW,32,600
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,17,0
AU,17,0
AU,17,113950
AU,17,0
AU,17,600
AU,17,241180
AU,17,0
AU,17,0
AU,17,0
AU,17,0
AU,17,0
AU,17,0
AU,17,0
AU,17,0
AU,17,0
AU,18,49060
AU,18,37203
AU,18,63190
AU,18,97244
AU,18,119280
AU,19,0
AU,19,10296
AU,19,120263
AU,19,0
AU,19,100659
AU,19,0
AU,19,0
AU,19,0
AU,19,0
AU,19,0
AU,19,141726
AU,20,26598
AU,20,117110
AU,20,53562
AU,20,2116
AU,20,275157
AU,20,127305
AU,20,45904
AU,20,176792
AU,20,255640
AU,20,14120
AU,21,154394
AU,21,148570
AU,21,164640
AU,21,257298
AU,21,43200
AU,21,116181
AU,21,74520
AU,21,180320
AU,21,49506
AU,22,97580
AU,22,56772
AU,22,142450
AU,22,159470
AU,22,32314
AU,22,71882
AU,22,58220
AU,22,54290
AU,22,100470
AU,22,103290
AU,22,103896
AU,23,43896
AU,23,113894
AU,23,164150
AU,23,156585
AU,23,71928
AU,23,107004
AU,23,16432
AU,23,114708
AU,23,87330
AU,23,85340
AU,24,304591
AU,24,104535
AU,24,64896
AU,24,122120
AU,24,121471
AU,24,158010
AU,24,142450
AU,24,93960
AU,24,84372
AU,24,116181
AU,25,153546
AU,25,71959
AU,25,146010
AU,25,73920
AU,25,118779
AU,25,109120
AU,25,110789
AU,25,344640
AU,25,305900
AU,25,235620
AU,26,157662
AU,26,112200
AU,26,134300
AU,26,131240
AU,26,143480
AU,26,59840
AU,26,57280
AU,26,5994
AU,26,52480
AU,26,92820
AU,27,133120
AU,27,98240
AU,27,156420
AU,27,89760
AU,27,105920
AU,27,32640
AU,27,60800
AU,27,86460
AU,27,106080
AU,27,164670
