###MetaData,,
Site,SporCount,ID
AU,124,AU155
AU,185,AU155
AU,125,AU155
AU,113,AU155
AU,128,AU155
AU,127,AU155
AU,98,AU155
AU,155,AU155
AU,150,AU155
AU,148,AU155
AU,143,AU155
AU,98,AU155
AU,104,AU155
AU,104,AU155
AU,108,AU155
AU,110,AU155
AU,126,AU155
AU,124,AU155
AU,124,AU155
AU,95,AU155
AU,126,AU155
AU,111,AU155
AU,119,AU155
AU,91,AU155
AU,109,AU155
AU,94,AU155
AU,124,AU155
AU,173,AU155
AU,96,AU155
AU,139,AU155
AU,133,AU170
AU,116,AU170
AU,129,AU170
AU,133,AU170
AU,136,AU170
AU,141,AU170
AU,118,AU170
AU,115,AU170
AU,147,AU170
AU,130,AU170
AU,152,AU170
AU,141,AU170
AU,128,AU170
AU,111,AU170
AU,139,AU170
AU,124,AU170
AU,151,AU170
AU,127,AU170
AU,134,AU170
AU,140,AU170
AU,138,AU170
AU,143,AU170
AU,145,AU170
AU,134,AU170
AU,102,AU170
AU,141,AU170
AU,138,AU170
AU,143,AU170
AU,147,AU170
AU,115,AU170
AU,81,AU159
AU,101,AU159
AU,120,AU159
AU,95,AU159
AU,101,AU159
AU,112,AU159
AU,112,AU159
AU,94,AU159
AU,122,AU159
AU,121,AU159
AU,104,AU159
AU,105,AU159
AU,94,AU159
AU,102,AU159
AU,91,AU159
AU,114,AU159
AU,98,AU159
AU,120,AU159
AU,124,AU159
AU,73,AU159
AU,110,AU159
AU,93,AU159
AU,92,AU159
AU,134,AU159
AU,92,AU159
AU,74,AU159
AU,78,AU159
AU,126,AU159
AU,102,AU159
AU,90,AU159
AU,144,AU171
AU,132,AU171
AU,144,AU171
AU,146,AU171
AU,125,AU171
AU,139,AU171
AU,141,AU171
AU,125,AU171
AU,171,AU171
AU,154,AU171
AU,123,AU171
AU,111,AU171
AU,135,AU171
AU,138,AU171
AU,153,AU171
AU,135,AU171
AU,139,AU171
AU,141,AU171
AU,146,AU171
AU,135,AU171
AU,123,AU171
AU,131,AU171
AU,113,AU171
AU,134,AU171
AU,155,AU171
AU,118,AU171
AU,139,AU171
AU,120,AU171
AU,153,AU171
AU,128,AU171
AU,172,AU165
AU,174,AU165
AU,201,AU165
AU,178,AU165
AU,106,AU165
AU,186,AU165
AU,151,AU165
AU,159,AU165
AU,135,AU165
AU,177,AU165
AU,144,AU165
AU,134,AU165
AU,129,AU165
AU,122,AU165
AU,115,AU165
AU,155,AU165
AU,141,AU165
AU,124,AU165
AU,116,AU165
AU,117,AU165
AU,149,AU165
AU,127,AU165
AU,139,AU165
AU,125,AU165
AU,143,AU165
AU,116,AU165
AU,122,AU165
AU,130,AU165
AU,123,AU165
AU,105,AU165
AU,185,AU142
AU,156,AU142
AU,152,AU142
AU,182,AU142
AU,180,AU142
AU,181,AU142
AU,141,AU142
AU,183,AU142
AU,172,AU142
AU,156,AU142
AU,158,AU142
AU,175,AU142
AU,156,AU142
AU,152,AU142
AU,167,AU142
AU,146,AU142
AU,154,AU142
AU,174,AU142
AU,197,AU142
AU,206,AU142
AU,154,AU142
AU,191,AU142
AU,179,AU142
AU,140,AU142
AU,120,AU142
AU,133,AU142
AU,178,AU142
AU,180,AU142
AU,117,AU142
AU,156,AU142
AU,163,AU147
AU,126,AU147
AU,105,AU147
AU,98,AU147
AU,108,AU147
AU,177,AU147
AU,126,AU147
AU,111,AU147
AU,136,AU147
AU,115,AU147
AU,174,AU147
AU,137,AU147
AU,122,AU147
AU,126,AU147
AU,119,AU147
AU,116,AU147
AU,155,AU147
AU,157,AU147
AU,123,AU147
AU,121,AU147
AU,148,AU147
AU,146,AU147
AU,128,AU147
AU,108,AU147
AU,154,AU147
AU,157,AU147
AU,142,AU147
AU,124,AU147
AU,105,AU147
AU,112,AU147
AU,183,AU145
AU,198,AU145
AU,200,AU145
AU,194,AU145
AU,194,AU145
AU,163,AU145
AU,170,AU145
AU,175,AU145
AU,184,AU145
AU,170,AU145
AU,207,AU145
AU,179,AU145
AU,189,AU145
AU,198,AU145
AU,196,AU145
AU,206,AU145
AU,133,AU145
AU,133,AU145
AU,158,AU145
AU,194,AU145
AU,178,AU145
AU,194,AU145
AU,194,AU145
AU,101,AU145
AU,197,AU145
AU,152,AU145
AU,174,AU145
AU,165,AU145
AU,158,AU145
AU,188,AU145
AU,196,AU143
AU,144,AU143
AU,173,AU143
AU,179,AU143
AU,142,AU143
AU,192,AU143
AU,172,AU143
AU,168,AU143
AU,141,AU143
AU,155,AU143
AU,148,AU143
AU,157,AU143
AU,153,AU143
AU,174,AU143
AU,201,AU143
AU,162,AU143
AU,149,AU143
AU,141,AU143
AU,128,AU143
AU,156,AU143
AU,146,AU143
AU,161,AU143
AU,165,AU143
AU,153,AU143
AU,194,AU143
AU,157,AU143
AU,181,AU143
AU,151,AU143
AU,131,AU143
AU,165,AU143
AU,109,AU148
AU,118,AU148
AU,154,AU148
AU,127,AU148
AU,118,AU148
AU,118,AU148
AU,171,AU148
AU,155,AU148
AU,107,AU148
AU,127,AU148
AU,118,AU148
AU,141,AU148
AU,123,AU148
AU,130,AU148
AU,126,AU148
AU,129,AU148
AU,167,AU148
AU,141,AU148
AU,152,AU148
AU,169,AU148
AU,106,AU148
AU,145,AU148
AU,175,AU148
AU,114,AU148
AU,146,AU148
AU,118,AU148
AU,106,AU148
AU,169,AU148
AU,123,AU148
AU,153,AU148
HF,151,HF158
HF,164,HF158
HF,124,HF158
HF,190,HF158
HF,151,HF158
HF,124,HF158
